DATE,Bajaj Signal,Eicher Signal,Hero Signal,TVS Signal,Infosys Signal,TCS Signal
2/26/2016,Sell,Buy,Sell,Sell,Buy,Sell
2/29/2016,Sell,Buy,Sell,Sell,Buy,Sell
3/1/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/2/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/3/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/4/2016,Sell,Buy,Buy,Sell,HOLD,Sell
3/8/2016,Sell,Buy,Buy,Sell,HOLD,Sell
3/9/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/10/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/11/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/14/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/15/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/16/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/17/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/18/2016,Sell,Buy,Buy,Sell,Buy,Sell
3/21/2016,Sell,Buy,Buy,HOLD,Buy,HOLD
3/22/2016,Sell,Buy,Buy,HOLD,Buy,Buy
3/23/2016,Sell,Buy,Buy,HOLD,Buy,Buy
3/28/2016,Sell,Buy,Buy,Buy,Buy,Buy
3/29/2016,Sell,Buy,Buy,Buy,Buy,Buy
3/30/2016,Sell,Buy,Buy,Buy,Buy,Buy
3/31/2016,Sell,Buy,Buy,Buy,Buy,Buy
4/1/2016,Sell,Buy,Buy,Buy,Buy,Buy
4/4/2016,HOLD,Buy,Buy,Buy,Buy,Buy
4/5/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/6/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/7/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/8/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/11/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/12/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/13/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/18/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/20/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/21/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/22/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/25/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/26/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/27/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/28/2016,Buy,Buy,Buy,Buy,Buy,Buy
4/29/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/2/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/3/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/4/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/5/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/6/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/9/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/10/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/11/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/12/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/13/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/16/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/17/2016,Buy,Buy,Buy,Buy,Buy,Buy
5/18/2016,Buy,Buy,Buy,HOLD,Buy,Buy
5/19/2016,Buy,Buy,Buy,HOLD,Buy,Buy
5/20/2016,Buy,Buy,Buy,Sell,Buy,Buy
5/23/2016,Buy,Buy,HOLD,Sell,Buy,Buy
5/24/2016,Buy,Buy,Sell,Sell,Buy,Buy
5/25/2016,Buy,Buy,Sell,Sell,Buy,Buy
5/26/2016,Buy,Sell,Sell,Sell,Buy,Buy
5/27/2016,Buy,Sell,Sell,Sell,Buy,Buy
5/30/2016,Buy,Sell,Sell,Sell,Buy,Buy
5/31/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/1/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/2/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/3/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/6/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/7/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/8/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/9/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/10/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/13/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/14/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/15/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/16/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/17/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/20/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/21/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/22/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/23/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/24/2016,Buy,Sell,Buy,Sell,Buy,Buy
6/27/2016,Buy,Sell,Buy,Sell,HOLD,Buy
6/28/2016,Buy,Sell,Buy,Sell,Sell,Buy
6/29/2016,Buy,Sell,Buy,Sell,Sell,Buy
6/30/2016,Buy,Sell,Buy,Sell,Sell,Buy
7/1/2016,Buy,Sell,Buy,Sell,Sell,Buy
7/4/2016,Buy,Sell,Buy,Sell,Sell,Buy
7/5/2016,Buy,Sell,Buy,Sell,Sell,Buy
7/7/2016,Buy,Sell,Buy,HOLD,Sell,HOLD
7/8/2016,Buy,Sell,Buy,HOLD,Sell,Sell
7/11/2016,Buy,Sell,Buy,HOLD,Sell,Sell
7/12/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/13/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/14/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/15/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/18/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/19/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/20/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/21/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/22/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/25/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/26/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/27/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/28/2016,Buy,Buy,Buy,Buy,Sell,Sell
7/29/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/1/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/2/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/3/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/4/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/5/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/8/2016,Buy,Buy,Buy,Buy,Sell,Sell
8/9/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/10/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/11/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/12/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/16/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/17/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/18/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/19/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/22/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/23/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/24/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/25/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/26/2016,Buy,Buy,Buy,HOLD,Sell,Buy
8/29/2016,Buy,Buy,Buy,Buy,Sell,Buy
8/30/2016,Buy,Buy,Buy,Buy,Sell,Buy
8/31/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/1/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/2/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/6/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/7/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/8/2016,Buy,Buy,Buy,Buy,Sell,Buy
9/9/2016,Buy,Buy,Buy,Buy,Sell,HOLD
9/12/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/14/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/15/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/16/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/19/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/20/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/21/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/22/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/23/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/26/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/27/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/28/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/29/2016,Buy,Buy,Buy,Buy,Sell,Sell
9/30/2016,Buy,Buy,Buy,Buy,Sell,Sell
10/3/2016,Buy,Buy,Buy,Buy,Sell,Sell
10/4/2016,Buy,Buy,Buy,Buy,Sell,Sell
10/5/2016,Buy,Buy,Buy,Buy,Sell,Sell
10/6/2016,Buy,Buy,Buy,Buy,Sell,Sell
10/7/2016,Buy,Buy,Buy,Buy,Sell,Sell
10/10/2016,Buy,Buy,Buy,Buy,Sell,Sell
10/13/2016,HOLD,Buy,Buy,Buy,Sell,Sell
10/14/2016,Sell,Buy,Buy,Buy,Sell,Sell
10/17/2016,Sell,Buy,Buy,Buy,Sell,Sell
10/18/2016,Sell,Buy,Buy,Buy,Sell,Sell
10/19/2016,Sell,Buy,Buy,Buy,Sell,Sell
10/20/2016,Sell,Buy,Buy,Buy,Sell,Sell
10/21/2016,Sell,Buy,Buy,Buy,Sell,Sell
10/24/2016,Sell,Buy,Sell,Buy,Sell,Sell
10/25/2016,Sell,Buy,Sell,Buy,Sell,Sell
10/26/2016,Sell,Buy,Sell,Buy,Sell,Sell
10/27/2016,Sell,Buy,Sell,Buy,Sell,Sell
10/28/2016,Sell,Buy,Sell,Buy,Sell,Sell
10/30/2016,Sell,Buy,Sell,Buy,Sell,Sell
11/1/2016,Sell,Buy,Sell,Buy,Sell,Sell
11/2/2016,Sell,Buy,Sell,Buy,Sell,Sell
11/3/2016,Sell,Buy,Sell,Buy,Sell,Sell
11/4/2016,Sell,Buy,Sell,Buy,Sell,Sell
11/7/2016,Sell,Buy,Sell,Buy,Sell,Sell
11/8/2016,Sell,Buy,Sell,Buy,Sell,Sell
11/9/2016,Sell,Buy,Sell,Buy,Sell,Sell
11/10/2016,Sell,Buy,Sell,Buy,Sell,Sell
11/11/2016,Sell,Buy,Sell,Buy,Sell,Sell
11/15/2016,Sell,Sell,Sell,Buy,Sell,Sell
11/16/2016,Sell,Sell,Sell,Buy,Sell,Sell
11/17/2016,Sell,Sell,Sell,Buy,Sell,Sell
11/18/2016,Sell,Sell,Sell,Buy,Sell,Sell
11/21/2016,Sell,Sell,Sell,Buy,Sell,Sell
11/22/2016,Sell,Sell,Sell,Buy,Sell,Sell
11/23/2016,Sell,Sell,Sell,Buy,Sell,Sell
11/24/2016,Sell,Sell,Sell,Buy,Sell,Sell
11/25/2016,Sell,Sell,Sell,Buy,Sell,Sell
11/28/2016,Sell,Sell,Sell,HOLD,Sell,Sell
11/29/2016,Sell,Sell,Sell,Sell,Sell,Sell
11/30/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/1/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/2/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/5/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/6/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/7/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/8/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/9/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/12/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/13/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/14/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/15/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/16/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/19/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/20/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/21/2016,Sell,Sell,Sell,Sell,Sell,Sell
12/22/2016,Sell,Sell,Sell,Sell,Buy,Sell
12/23/2016,Sell,Sell,Sell,Sell,Buy,Sell
12/26/2016,Sell,Sell,Sell,Sell,Buy,Sell
12/27/2016,Sell,Sell,Sell,Sell,Buy,Sell
12/28/2016,Sell,Sell,Sell,Sell,Buy,Sell
12/29/2016,Sell,Sell,Sell,Sell,Buy,Sell
12/30/2016,Sell,Sell,Sell,Sell,Buy,Sell
1/2/2017,Sell,Sell,Sell,Sell,Buy,Buy
1/3/2017,Sell,Sell,Sell,Sell,Buy,Buy
1/4/2017,Sell,Sell,Sell,Sell,Buy,Buy
1/5/2017,Sell,Sell,Sell,Sell,Buy,Buy
1/6/2017,Sell,Sell,Sell,HOLD,Buy,Buy
1/9/2017,Sell,Sell,Sell,HOLD,Buy,Buy
1/10/2017,Sell,Sell,Sell,Buy,Buy,Buy
1/11/2017,Sell,Sell,Sell,Buy,Buy,Buy
1/12/2017,Sell,Sell,Sell,Buy,Buy,Buy
1/13/2017,Sell,Sell,Sell,Buy,Buy,Buy
1/16/2017,Sell,Buy,Sell,Buy,Buy,Buy
1/17/2017,Buy,Buy,Sell,Buy,Buy,Buy
1/18/2017,Buy,Buy,Sell,Buy,Buy,Buy
1/19/2017,Buy,Buy,Sell,Buy,Buy,Buy
1/20/2017,Buy,Buy,Sell,Buy,Buy,Buy
1/23/2017,Buy,Buy,Sell,Buy,Buy,Buy
1/24/2017,Buy,Buy,Sell,Buy,Buy,Buy
1/25/2017,Buy,Buy,Sell,Buy,HOLD,Buy
1/27/2017,Buy,Buy,Sell,Buy,Sell,Buy
1/30/2017,Buy,Buy,Sell,Buy,Sell,Buy
1/31/2017,Buy,Buy,Sell,Buy,Sell,Buy
2/1/2017,Buy,Buy,HOLD,Buy,Sell,Buy
2/2/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/3/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/6/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/7/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/8/2017,Buy,Buy,Buy,Buy,Sell,HOLD
2/9/2017,Buy,Buy,Buy,Buy,Sell,HOLD
2/10/2017,Buy,Buy,Buy,Buy,Sell,HOLD
2/13/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/14/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/15/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/16/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/17/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/20/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/21/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/22/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/23/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/27/2017,Buy,Buy,Buy,Buy,Sell,Buy
2/28/2017,Buy,Buy,Buy,Buy,Sell,Buy
3/1/2017,Buy,Buy,Buy,Buy,HOLD,Buy
3/2/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/3/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/6/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/7/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/8/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/9/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/10/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/14/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/15/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/16/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/17/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/20/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/21/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/22/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/23/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/24/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/27/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/28/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/29/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/30/2017,Buy,Buy,Buy,Buy,Buy,Buy
3/31/2017,Buy,Buy,Buy,Buy,Buy,Buy
4/3/2017,Buy,Buy,Buy,Buy,Buy,Buy
4/5/2017,Buy,Buy,Buy,Buy,Buy,Buy
4/6/2017,Buy,Buy,Buy,Buy,Buy,Buy
4/7/2017,Buy,Buy,Buy,Buy,Buy,Buy
4/10/2017,Buy,Buy,Buy,Buy,Buy,Buy
4/11/2017,Buy,Buy,Buy,Buy,Buy,Buy
4/12/2017,Buy,Buy,Buy,Buy,Buy,Buy
4/13/2017,Buy,Buy,Buy,Buy,Buy,Buy
4/17/2017,Buy,Buy,Buy,Buy,Buy,Buy
4/18/2017,Buy,Buy,Buy,Buy,HOLD,Sell
4/19/2017,HOLD,Buy,Buy,Buy,Sell,Sell
4/20/2017,Sell,Buy,Buy,Buy,Sell,Sell
4/21/2017,Sell,Buy,HOLD,Buy,Sell,Sell
4/24/2017,Sell,Buy,Sell,Buy,Sell,Sell
4/25/2017,Sell,Buy,Sell,Buy,Sell,Sell
4/26/2017,Sell,Buy,Sell,Buy,Sell,Sell
4/27/2017,Sell,Buy,Sell,Buy,Sell,Sell
4/28/2017,Sell,Buy,Sell,Buy,Sell,Sell
5/2/2017,Sell,Buy,Sell,Buy,Sell,Sell
5/3/2017,HOLD,Buy,Sell,Buy,Sell,Sell
5/4/2017,Buy,Buy,Sell,Buy,Sell,Sell
5/5/2017,Buy,Buy,Sell,Buy,Sell,Sell
5/8/2017,Buy,Buy,HOLD,Buy,Sell,Sell
5/9/2017,Buy,Buy,HOLD,Buy,Sell,Sell
5/10/2017,Buy,Buy,Buy,Buy,Sell,Sell
5/11/2017,Buy,Buy,Buy,Buy,Sell,Sell
5/12/2017,Buy,Buy,Buy,Buy,Sell,Sell
5/15/2017,Buy,Buy,Buy,Buy,Sell,Sell
5/16/2017,Buy,Buy,Buy,Buy,Sell,Sell
5/17/2017,Buy,Buy,Buy,Buy,Sell,Sell
5/18/2017,Buy,Buy,Buy,Buy,Sell,Sell
5/19/2017,Buy,Buy,Buy,Buy,Sell,Sell
